Time	wtime	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	rx_bytes	rx_packets	tx_bytes	tx_packets	stime	utime	nprocs	nthreads
1773495513	0	22956	25824	0	1959196	6708	0	90	0	66	1	406	1	0	0	1	1
1773495515	1	692440	695308	0	1959196	6708	0	90	0	66	1	406	1	1	0	1	1
1773495517	3	977160	980088	0	1959196	6708	0	90	0	19323	52	27175	48	2	0	1	1
1773495519	5	977160	980088	0	1959196	6708	0	90	0	58053	130	87618	122	2	0	1	1
1773495521	8	977160	980088	0	1959196	6708	0	90	0	88993	164	142285	152	2	0	1	1
1773495523	10	977160	980088	0	1959196	6708	0	90	0	89157	167	142449	155	2	0	1	1
1773495525	12	977161	980088	0	1959196	6708	0	90	0	89157	167	142449	155	2	0	1	1
1773495527	14	977160	980088	0	1959196	6708	0	90	0	104456	204	164887	192	2	0	1	1
1773495529	16	977160	980088	0	1959196	6708	0	90	0	149828	319	238587	298	2	0	1	1
1773495531	18	977159	980088	0	1959196	6708	0	90	0	149828	319	238587	298	2	0	1	1
1773495533	20	977160	980088	0	1959196	6708	0	90	0	149828	319	238587	298	2	0	1	1
1773495535	21	977161	980088	0	1959196	6708	0	90	0	149828	319	238587	298	2	0	1	1
1773495537	23	977160	980088	0	1959196	6708	0	90	0	149828	319	238587	298	2	0	1	1
1773495539	25	977160	980088	0	1959196	6708	0	90	0	207925	450	325776	419	2	0	1	1
1773495541	27	977160	980088	0	1959196	6708	0	90	0	214084	467	333662	435	2	0	1	1
1773495543	29	977160	980088	0	1959196	6708	0	90	0	214150	468	333728	436	2	0	1	1
1773495545	31	977159	980088	0	1959196	6708	0	90	0	214150	468	333728	436	2	0	1	1
1773495547	33	977160	980088	0	1959196	6708	0	90	0	214150	468	333728	436	2	0	1	1
1773495549	35	977160	980088	0	1959196	6708	0	90	0	263829	582	407672	542	2	0	1	1
1773495551	37	977160	980088	0	1959196	6708	0	90	0	272135	597	420940	557	2	0	1	1
1773495553	39	977160	980088	0	1959196	6708	0	90	0	272351	601	421156	561	2	0	1	1
1773495555	41	977160	980088	0	1959196	6708	0	90	0	272455	603	421260	563	2	0	1	1
1773495557	44	977161	980088	0	1959196	6708	0	90	0	272455	603	421260	563	2	0	1	1
1773495559	46	977161	980088	0	1959196	6708	0	90	0	321448	742	495774	689	2	0	1	1
1773495561	48	977160	980088	0	1959196	6708	0	90	0	337717	774	521255	717	2	0	1	1
1773495563	50	977160	980088	0	1959196	6708	0	90	0	337717	774	521255	717	2	0	1	1
1773495565	52	977160	980088	0	1959196	6708	0	90	0	337717	774	521255	717	2	0	1	1
1773495567	54	977160	980088	0	1959196	6708	0	90	0	337821	776	521359	719	2	0	1	1
1773495569	55	977160	980088	0	1959196	6708	0	90	0	366754	843	564063	781	2	0	1	1
1773495571	57	977160	980088	0	1959196	6708	0	90	0	396048	909	608811	844	2	0	1	1
1773495573	59	977160	980088	0	1959196	6708	0	90	0	396114	910	608877	845	2	0	1	1
1773495575	61	977160	980088	0	1959196	6708	0	90	0	396114	910	608877	845	2	0	1	1
1773495577	63	977160	980088	0	1959196	6708	0	90	0	396114	910	608877	845	2	0	1	1
1773495579	65	977160	980088	0	1959196	6708	0	90	0	415375	961	635780	894	2	0	1	1
1773495581	67	977160	980088	0	1959196	6708	0	90	0	453912	1036	696293	969	2	0	1	1
1773495583	69	977160	980088	0	1959196	6708	0	90	0	454076	1039	696457	972	2	0	1	1
1773495585	71	977160	980088	0	1959196	6708	0	90	0	454076	1039	696457	972	2	0	1	1
1773495587	73	977160	980088	0	1959196	6708	0	90	0	454180	1041	696561	974	2	0	1	1
1773495589	75	977160	980088	0	1959196	6708	0	90	0	472161	1100	727354	1026	2	0	1	1
1773495591	78	977161	980088	0	1959196	6708	0	90	0	514890	1193	792397	1113	2	0	1	1
1773495593	80	977160	980088	0	1959196	6708	0	90	0	514890	1193	792397	1113	2	0	1	1
1773495595	82	977160	980088	0	1959196	6708	0	90	0	514890	1193	792397	1113	2	0	1	1
1773495597	84	977161	980088	0	1959196	6708	0	90	0	514994	1195	792501	1115	2	0	1	1
1773495599	86	977160	980088	0	1959196	6708	0	90	0	514994	1195	792501	1115	2	0	1	1
1773495601	88	977160	980088	0	1959196	6708	0	90	0	579208	1342	887404	1249	2	0	1	1
1773495603	89	977160	980088	0	1959196	6708	0	90	0	579274	1343	887470	1250	2	0	1	1
1773495605	91	977160	980088	0	1959196	6708	0	90	0	579274	1343	887470	1250	2	0	1	1
1773495607	93	977160	980088	0	1959196	6708	0	90	0	579274	1343	887470	1250	2	0	1	1
1773495609	95	977160	980088	0	1959196	6708	0	90	0	579340	1344	887536	1251	2	0	1	1
1773495611	97	977161	980088	0	1959196	6708	0	90	0	629089	1459	961351	1355	2	0	1	1
1773495613	99	977160	980088	0	1959196	6708	0	90	0	637609	1478	974834	1374	2	0	1	1
1773495615	101	977160	980088	0	1959196	6708	0	90	0	637713	1480	974938	1376	2	0	1	1
1773495617	103	977160	980088	0	1959196	6708	0	90	0	637713	1480	974938	1376	2	0	1	1
1773495619	105	977161	980088	0	1959196	6708	0	90	0	644851	1520	988003	1413	2	0	1	1
1773495621	107	977160	980088	0	1959196	6708	0	90	0	686566	1617	1049602	1504	2	0	1	1
1773495623	110	977160	980088	0	1959196	6708	0	90	0	702771	1648	1075150	1533	2	0	1	1
1773495625	112	977160	980088	0	1959196	6708	0	90	0	702771	1648	1075150	1533	2	0	1	1
1773495627	114	977160	980088	0	1959196	6708	0	90	0	702771	1648	1075150	1533	2	0	1	1
1773495629	116	977160	980088	0	1959196	6708	0	90	0	702875	1650	1075254	1535	2	0	1	1
1773495631	118	977161	980088	0	1959196	6708	0	90	0	744765	1750	1137092	1630	2	0	1	1
1773495633	120	977160	980088	0	1959196	6708	0	90	0	761102	1783	1162772	1661	2	0	1	1
1773495635	122	977160	980088	0	1959196	6708	0	90	0	761102	1783	1162772	1661	2	0	1	1
1773495637	123	977160	980088	0	1959196	6708	0	90	0	761102	1783	1162772	1661	2	0	1	1
1773495639	125	977161	980088	0	1959196	6708	0	90	0	761168	1784	1162838	1662	2	0	1	1
1773495641	127	977160	980088	0	1959196	6708	0	90	0	776300	1818	1185012	1696	2	0	1	1
1773495643	129	977160	980088	0	1959196	6708	0	90	0	819063	1912	1250352	1788	2	0	1	1
1773495645	131	977161	980088	0	1959196	6708	0	90	0	819063	1912	1250352	1788	2	0	1	1
1773495647	133	977160	980088	0	1959196	6708	0	90	0	819167	1914	1250456	1790	2	0	1	1
1773495649	135	977160	980088	0	1959196	6708	0	90	0	821753	1935	1259208	1810	2	0	1	1
1773495651	137	977160	980088	0	1959196	6708	0	90	0	821753	1935	1259208	1810	2	0	1	1
1773495653	139	977161	980088	0	1959196	6708	0	90	0	879743	2064	1346291	1929	2	0	1	1
1773495655	141	977160	980088	0	1959196	6708	0	90	0	879743	2064	1346291	1929	2	0	1	1
1773495657	143	977159	980088	0	1959196	6708	0	90	0	879847	2066	1346395	1931	2	0	1	1
1773495659	146	977161	980088	0	1959196	6708	0	90	0	879847	2066	1346395	1931	2	0	1	1
1773495661	148	977160	980088	0	1959196	6708	0	90	0	886072	2084	1354347	1948	2	0	1	1
1773495663	150	977160	980088	0	1959196	6708	0	90	0	943996	2212	1441628	2070	2	0	1	1
1773495665	152	977161	980088	0	1959196	6708	0	90	0	943996	2212	1441628	2070	2	0	1	1
1773495667	154	977160	980088	0	1959196	6708	0	90	0	943996	2212	1441628	2070	2	0	1	1
1773495669	156	977160	980088	0	1959196	6708	0	90	0	944062	2213	1441694	2071	2	0	1	1
1773495671	157	977160	980088	0	1959196	6708	0	90	0	944062	2213	1441694	2071	2	0	1	1
1773495673	159	977160	980088	0	1959196	6708	0	90	0	963474	2267	1468748	2123	2	0	1	1
1773495675	161	977160	980088	0	1959196	6708	0	90	0	1002379	2348	1529101	2196	2	0	1	1
1773495677	163	977160	980088	0	1959196	6708	0	90	0	1002379	2348	1529101	2196	2	0	1	1
1773495679	165	977160	980088	0	1959196	6708	0	90	0	1009586	2389	1542102	2232	2	0	1	1
1773495681	167	977160	980088	0	1959196	6708	0	90	0	1009586	2389	1542102	2232	2	0	1	1
1773495683	169	977160	980088	0	1959196	6708	0	90	0	1038518	2456	1584739	2293	2	0	1	1
1773495685	171	977160	980088	0	1959196	6708	0	90	0	1067574	2518	1629184	2351	2	0	1	1
1773495687	173	977160	980088	0	1959196	6708	0	90	0	1067574	2518	1629184	2351	2	0	1	1
1773495689	175	977161	980088	0	1959196	6708	0	90	0	1067678	2520	1629288	2353	2	0	1	1
1773495691	177	977160	980088	0	1959196	6708	0	90	0	1067848	2523	1629458	2356	2	0	1	1
1773495693	180	977161	980088	0	1959196	6708	0	90	0	1087242	2576	1656362	2405	2	0	1	1
1773495695	182	977161	980088	0	1959196	6708	0	90	0	1125841	2652	1716807	2479	2	0	1	1
1773495697	184	977160	980088	0	1959196	6708	0	90	0	1125841	2652	1716807	2479	2	0	1	1
1773495699	186	977160	980088	0	1959196	6708	0	90	0	1125907	2653	1716873	2480	2	0	1	1
1773495701	188	977160	980088	0	1959196	6708	0	90	0	1125907	2653	1716873	2480	2	0	1	1
1773495703	190	977160	980088	0	1959196	6708	0	90	0	1141268	2691	1739144	2516	2	0	1	1
1773495705	192	977160	980088	0	1959196	6708	0	90	0	1184065	2785	1804122	2602	2	0	1	1
1773495707	193	977160	980088	0	1959196	6708	0	90	0	1184169	2787	1804226	2604	2	0	1	1
1773495709	195	977160	980088	0	1959196	6708	0	90	0	1186755	2808	1813000	2624	2	0	1	1
1773495711	197	977160	980088	0	1959196	6708	0	90	0	1186755	2808	1813000	2624	2	0	1	1
1773495713	199	977161	980088	0	1959196	6708	0	90	0	1186755	2808	1813000	2624	2	0	1	1
1773495715	201	977160	980088	0	1959196	6708	0	90	0	1244613	2935	1900215	2745	2	0	1	1
1773495717	203	977160	980088	0	1959196	6708	0	90	0	1244717	2937	1900319	2747	2	0	1	1
1773495719	205	977161	980088	0	1959196	6708	0	90	0	1244717	2937	1900319	2747	2	0	1	1
1773495721	207	977161	980088	0	1959196	6708	0	90	0	1250876	2954	1908205	2763	2	0	1	1
1773495723	209	977160	980088	0	1959196	6708	0	90	0	1250942	2955	1908271	2764	2	0	1	1
1773495725	211	977160	980088	0	1959196	6708	0	90	0	1308937	3084	1995423	2884	2	0	1	1
1773495727	213	977160	980088	0	1959196	6708	0	90	0	1308937	3084	1995423	2884	2	0	1	1
1773495729	216	977161	980088	0	1959196	6708	0	90	0	1309003	3085	1995489	2885	2	0	1	1
1773495731	218	977160	980088	0	1959196	6708	0	90	0	1309003	3085	1995489	2885	2	0	1	1
1773495733	220	977160	980088	0	1959196	6708	0	90	0	1309219	3089	1995705	2889	2	0	1	1
1773495735	222	977160	980088	0	1959196	6708	0	90	0	1358772	3201	2069653	2995	2	0	1	1
1773495737	224	977160	980088	0	1959196	6708	0	90	0	1367180	3218	2083024	3012	2	0	1	1
1773495739	226	977160	980088	0	1959196	6708	0	90	0	1374450	3260	2096111	3049	2	0	1	1
1773495741	227	977160	980088	0	1959196	6708	0	90	0	1374450	3260	2096111	3049	2	0	1	1
1773495743	229	977161	980088	0	1959196	6708	0	90	0	1374450	3260	2096111	3049	2	0	1	1
1773495745	231	977161	980088	0	1959196	6708	0	90	0	1403257	3325	2138884	3112	2	0	1	1
1773495747	233	977160	980088	0	1959196	6708	0	90	0	1432381	3388	2183264	3169	2	0	1	1
1773495749	235	977160	980088	0	1959196	6708	0	90	0	1432485	3390	2183368	3171	2	0	1	1
1773495751	237	977160	980088	0	1959196	6708	0	90	0	1432655	3393	2183538	3174	2	0	1	1
1773495753	239	977160	980088	0	1959196	6708	0	90	0	1432721	3394	2183604	3175	2	0	1	1
1773495755	241	977160	980088	0	1959196	6708	0	90	0	1451919	3444	2210575	3225	2	0	1	1
1773495757	243	977159	980088	0	1959196	6708	0	90	0	1490655	3522	2270892	3297	2	0	1	1
1773495759	245	977160	980088	0	1959196	6708	0	90	0	1490721	3523	2270958	3298	2	0	1	1
1773495761	247	977160	980088	0	1959196	6708	0	90	0	1490721	3523	2270958	3298	2	0	1	1
1773495763	250	977160	980088	0	1959196	6708	0	90	0	1490885	3526	2271122	3301	2	0	1	1
1773495765	252	977160	980088	0	1959196	6708	0	90	0	1506077	3561	2293226	3334	2	0	1	1
1773495767	254	977159	980088	0	1959196	6708	0	90	0	1548783	3654	2358509	3425	2	0	1	1
1773495769	256	977160	980088	0	1959196	6708	0	90	0	1551435	3676	2367217	3444	2	0	1	1
1773495771	258	977161	980088	0	1959196	6708	0	90	0	1551435	3676	2367217	3444	2	0	1	1
1773495773	260	977160	980088	0	1959196	6708	0	90	0	1551435	3676	2367217	3444	2	0	1	1
1773495775	262	977160	980088	0	1959196	6708	0	90	0	1551435	3676	2367217	3444	2	0	1	1
1773495777	263	977160	980088	0	1959196	6708	0	90	0	1609360	3804	2454368	3564	2	0	1	1
1773495779	265	977161	980088	0	1959196	6708	0	90	0	1609464	3806	2454472	3566	2	0	1	1
1773495781	267	977160	980088	0	1959196	6708	0	90	0	1615623	3823	2462262	3582	2	0	1	1
1773495783	269	977160	980088	0	1959196	6708	0	90	0	1615689	3824	2462424	3583	2	0	1	1
1773495785	271	977160	980088	0	1959196	6708	0	90	0	1615755	3825	2462490	3584	2	0	1	1
1773495787	273	977160	980088	0	1959196	6708	0	90	0	1665442	3939	2536308	3688	2	0	1	1
1773495789	275	977160	980088	0	1959196	6708	0	90	0	1673748	3954	2549576	3703	2	0	1	1
1773495791	277	977160	980088	0	1959196	6708	0	90	0	1673814	3955	2549642	3704	2	0	1	1
1773495793	279	977160	980088	0	1959196	6708	0	90	0	1674030	3959	2549858	3708	2	0	1	1
1773495795	281	977160	980088	0	1959196	6708	0	90	0	1674030	3959	2549858	3708	2	0	1	1
1773495797	284	977160	980088	0	1959196	6708	0	90	0	1715851	4058	2611562	3801	2	0	1	1
1773495799	286	977160	980088	0	1959196	6708	0	90	0	1739264	4130	2650135	3866	2	0	1	1
1773495801	288	977160	980088	0	1959196	6708	0	90	0	1739264	4130	2650135	3866	2	0	1	1
1773495803	290	977160	980088	0	1959196	6708	0	90	0	1739264	4130	2650135	3866	2	0	1	1
1773495805	292	977160	980088	0	1959196	6708	0	90	0	1739264	4130	2650135	3866	2	0	1	1
1773495807	294	977161	980088	0	1959196	6708	0	90	0	1768235	4198	2692943	3930	2	0	1	1
1773495809	296	977161	980088	0	1959196	6708	0	90	0	1797156	4258	2737520	3990	2	0	1	1
1773495811	297	977161	980088	0	1959196	6708	0	90	0	1797326	4261	2737690	3993	2	0	1	1
1773495813	299	977160	980088	0	1959196	6708	0	90	0	1797392	4262	2737756	3994	2	0	1	1
1773495815	301	977160	980088	0	1959196	6708	0	90	0	1797458	4263	2737822	3995	2	0	1	1
1773495817	303	977161	980088	0	1959196	6708	0	90	0	1816722	4314	2764595	4042	2	0	1	1
1773495819	305	977160	980088	0	1959196	6708	0	90	0	1855256	4389	2825108	4117	2	0	1	1
1773495821	307	977160	980088	0	1959196	6708	0	90	0	1855322	4390	2825174	4118	2	0	1	1
1773495823	309	977160	980088	0	1959196	6708	0	90	0	1855486	4393	2825338	4121	2	0	1	1
1773495825	311	977159	980088	0	1959196	6708	0	90	0	1855486	4393	2825338	4121	2	0	1	1
1773495827	313	977161	980088	0	1959196	6708	0	90	0	1870853	4431	2847483	4155	2	0	1	1
1773495829	315	977160	980088	0	1959196	6708	0	90	0	1916239	4546	2921261	4261	2	0	1	1
1773495831	317	977160	980088	0	1959196	6708	0	90	0	1916239	4546	2921261	4261	2	0	1	1
1773495833	320	977160	980088	0	1959196	6708	0	90	0	1916239	4546	2921261	4261	2	0	1	1
1773495835	322	977161	980088	0	1959196	6708	0	90	0	1916239	4546	2921261	4261	2	0	1	1
1773495837	324	977160	980088	0	1959196	6708	0	90	0	1916239	4546	2921261	4261	2	0	1	1
1773495839	326	977160	980088	0	1959196	6708	0	90	0	1974132	4674	3008646	4385	2	0	1	1
1773495841	328	977160	980088	0	1959196	6708	0	90	0	1980291	4691	3016532	4401	2	0	1	1
1773495843	330	977160	980088	0	1959196	6708	0	90	0	1980291	4691	3016532	4401	2	0	1	1
1773495845	331	977161	980088	0	1959196	6708	0	90	0	1980357	4692	3016598	4402	2	0	1	1
1773495847	333	977160	980088	0	1959196	6708	0	90	0	1980357	4692	3016598	4402	2	0	1	1
1773495849	335	977161	980088	0	1959196	6708	0	90	0	2029844	4803	3090613	4509	2	0	1	1
1773495851	337	977160	980088	0	1959196	6708	0	90	0	2038282	4820	3103881	4524	2	0	1	1
1773495853	339	977160	980088	0	1959196	6708	0	90	0	2038498	4824	3104097	4528	2	0	1	1
1773495855	341	977159	980088	0	1959196	6708	0	90	0	2038498	4824	3104097	4528	2	0	1	1
1773495857	343	977160	980088	0	1959196	6708	0	90	0	2038602	4826	3104201	4530	2	0	1	1
1773495859	345	977160	980088	0	1959196	6708	0	90	0	2083256	4945	3175300	4643	2	0	1	1
1773495861	347	977160	980088	0	1959196	6708	0	90	0	2103802	4996	3204597	4689	2	0	1	1
1773495863	349	977160	980088	0	1959196	6708	0	90	0	2103802	4996	3204597	4689	2	0	1	1
1773495865	351	977160	980088	0	1959196	6708	0	90	0	2103802	4996	3204597	4689	2	0	1	1
1773495867	354	977160	980088	0	1959196	6708	0	90	0	2103906	4998	3204701	4691	2	0	1	1
1773495869	356	977159	980088	0	1959196	6708	0	90	0	2132907	5066	3247274	4751	2	0	1	1
1773495871	358	977160	980088	0	1959196	6708	0	90	0	2162066	5130	3291956	4813	2	0	1	1
1773495873	360	977160	980088	0	1959196	6708	0	90	0	2162132	5131	3292022	4814	2	0	1	1
1773495875	362	977160	980088	0	1959196	6708	0	90	0	2162198	5132	3292088	4815	2	0	1	1
1773495877	364	977160	980088	0	1959196	6708	0	90	0	2162198	5132	3292088	4815	2	0	1	1
1773495879	366	977160	980088	0	1959196	6708	0	90	0	2181325	5181	3318990	4864	2	0	1	1
1773495881	367	977160	980088	0	1959196	6708	0	90	0	2220057	5259	3379437	4938	2	0	1	1
1773495883	369	977161	980088	0	1959196	6708	0	90	0	2220221	5262	3379601	4941	2	0	1	1
1773495885	371	977160	980088	0	1959196	6708	0	90	0	2220221	5262	3379601	4941	2	0	1	1
1773495887	373	977160	980088	0	1959196	6708	0	90	0	2220325	5264	3379705	4943	2	0	1	1
1773495889	375	977160	980088	0	1959196	6708	0	90	0	2238241	5322	3410544	4995	2	0	1	1
1773495891	377	977160	980088	0	1959196	6708	0	90	0	2280905	5414	3475721	5084	2	0	1	1
1773495893	379	977160	980088	0	1959196	6708	0	90	0	2280905	5414	3475721	5084	2	0	1	1
1773495895	381	977160	980088	0	1959196	6708	0	90	0	2280905	5414	3475721	5084	2	0	1	1
1773495897	383	977160	980088	0	1959196	6708	0	90	0	2280905	5414	3475721	5084	2	0	1	1
1773495899	385	977160	980088	0	1959196	6708	0	90	0	2281009	5416	3475825	5086	2	0	1	1
1773495901	387	977159	980088	0	1959196	6708	0	90	0	2345028	5560	3570833	5223	2	0	1	1
1773495903	390	977160	980088	0	1959196	6708	0	90	0	2345094	5561	3570995	5224	2	0	1	1
1773495905	392	977161	980088	0	1959196	6708	0	90	0	2345160	5562	3571061	5225	2	0	1	1
1773495907	394	977160	980088	0	1959196	6708	0	90	0	2345160	5562	3571061	5225	2	0	1	1
1773495909	396	977160	980088	0	1959196	6708	0	90	0	2345160	5562	3571061	5225	2	0	1	1
1773495911	398	977160	980088	0	1959196	6708	0	90	0	2403149	5691	3658342	5347	2	0	1	1
1773495913	400	977160	980088	0	1959196	6708	0	90	0	2403365	5695	3658558	5351	2	0	1	1
1773495915	402	977161	980088	0	1959196	6708	0	90	0	2403469	5697	3658662	5353	2	0	1	1
1773495917	403	977160	980088	0	1959196	6708	0	90	0	2403469	5697	3658662	5353	2	0	1	1
1773495919	405	977160	980088	0	1959196	6708	0	90	0	2406406	5719	3667963	5372	2	0	1	1
1773495921	407	977160	980088	0	1959196	6708	0	90	0	2452393	5835	3733308	5480	2	0	1	1
1773495923	409	977161	980088	0	1959196	6708	0	90	0	2468665	5867	3758792	5508	2	0	1	1
1773495925	411	977160	980088	0	1959196	6708	0	90	0	2468665	5867	3758792	5508	2	0	1	1
1773495927	413	977161	980088	0	1959196	6708	0	90	0	2468665	5867	3758792	5508	2	0	1	1
1773495929	415	977160	980088	0	1959196	6708	0	90	0	2468769	5869	3758896	5510	2	0	1	1
1773495931	417	977160	980088	0	1959196	6708	0	90	0	2497874	5939	3801771	5575	2	0	1	1
1773495933	419	977160	980088	0	1959196	6708	0	90	0	2526935	6001	3846352	5635	2	0	1	1
1773495935	421	977160	980088	0	1959196	6708	0	90	0	2527001	6002	3846418	5636	2	0	1	1
1773495937	424	977160	980088	0	1959196	6708	0	90	0	2527001	6002	3846418	5636	2	0	1	1
1773495939	426	977160	980088	0	1959196	6708	0	90	0	2527001	6002	3846418	5636	2	0	1	1
1773495941	428	977160	980088	0	1959196	6708	0	90	0	2546331	6054	3873257	5684	2	0	1	1
1773495943	430	977160	980088	0	1959196	6708	0	90	0	2585225	6135	3933735	5759	2	0	1	1
1773495945	432	977160	980088	0	1959196	6708	0	90	0	2585225	6135	3933735	5759	2	0	1	1
1773495947	434	977161	980088	0	1959196	6708	0	90	0	2585329	6137	3933839	5761	2	0	1	1
1773495949	436	977159	980088	0	1959196	6708	0	90	0	2587981	6159	3942660	5781	2	0	1	1
1773495951	437	977160	980088	0	1959196	6708	0	90	0	2603110	6193	3964832	5815	2	0	1	1
