Time	wtime	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	rx_bytes	rx_packets	tx_bytes	tx_packets	stime	utime	nprocs	nthreads
1773494040	0	16731	19652	0	103728	6708	0	87	0	66	1	299	1	0	0	1	1
1773494042	2	49474	52508	0	103728	6708	0	87	0	8432	17	13498	15	0	0	1	1
1773494044	4	49473	52508	0	103728	6708	0	87	0	8536	19	13602	17	0	0	1	1
1773494046	6	49473	52508	0	103728	6708	0	87	0	8536	19	13602	17	0	0	1	1
1773494048	8	49473	52508	0	103728	6708	0	87	0	17423	57	21605	51	0	0	1	1
1773494050	10	49474	52508	0	103728	6708	0	87	0	54593	136	78883	124	0	0	1	1
1773494052	12	49475	52508	0	103728	6708	0	87	0	70341	170	103353	156	0	0	1	1
1773494054	15	49473	52508	0	103728	6708	0	87	0	73059	193	111800	176	0	0	1	1
1773494056	17	49474	52508	0	103728	6708	0	87	0	73125	194	111962	177	0	0	1	1
1773494058	19	49470	52508	0	103728	6708	0	87	0	79218	210	119686	192	0	0	1	1
1773494060	21	49474	52508	0	103728	6708	0	87	0	108022	275	162457	255	0	0	1	1
1773494062	23	49474	52508	0	103728	6708	0	87	0	136523	338	205594	312	0	0	1	1
1773494064	25	49469	52508	0	103728	6708	0	87	0	136523	338	205594	312	0	0	1	1
1773494066	27	49473	52508	0	103728	6708	0	87	0	136523	338	205594	312	0	0	1	1
1773494068	29	49474	52508	0	103728	6708	0	87	0	136655	340	205726	314	0	0	1	1
1773494070	31	49474	52508	0	103728	6708	0	87	0	155851	390	232564	362	0	0	1	1
1773494072	33	49474	52508	0	103728	6708	0	87	0	194104	471	291911	439	0	0	1	1
1773494074	35	49474	52508	0	103728	6708	0	87	0	194104	471	291911	439	0	0	1	1
1773494076	37	49469	52508	0	103728	6708	0	87	0	194104	471	291911	439	0	0	1	1
1773494078	39	49475	52508	0	103728	6708	0	87	0	194104	471	291911	439	0	0	1	1
1773494080	41	49474	52508	0	103728	6708	0	87	0	209299	506	314017	472	0	0	1	1
1773494082	43	49474	52508	0	103728	6708	0	87	0	251622	603	378101	564	0	0	1	1
1773494084	45	49475	52508	0	103728	6708	0	87	0	254493	624	387118	584	0	0	1	1
1773494086	47	49473	52508	0	103728	6708	0	87	0	254559	625	387184	585	0	0	1	1
1773494088	49	49474	52508	0	103728	6708	0	87	0	254729	628	387354	588	0	0	1	1
1773494090	50	49472	52508	0	103728	6708	0	87	0	259349	647	391614	605	0	0	1	1
1773494092	52	49476	52508	0	103728	6708	0	87	0	312102	757	473331	709	0	0	1	1
1773494094	54	49469	52508	0	103728	6708	0	87	0	312102	757	473331	709	0	0	1	1
1773494096	56	49471	52508	0	103728	6708	0	87	0	312102	757	473331	709	0	0	1	1
1773494098	58	49472	52508	0	103728	6708	0	87	0	312338	761	473567	713	0	0	1	1
1773494100	60	49476	52508	0	103728	6708	0	87	0	316958	780	477827	730	0	0	1	1
1773494102	62	49473	52508	0	103728	6708	0	87	0	361403	875	546143	817	0	0	1	1
1773494104	64	49474	52508	0	103728	6708	0	87	0	369879	893	559449	833	0	0	1	1
1773494106	66	49475	52508	0	103728	6708	0	87	0	369879	893	559449	833	0	0	1	1
1773494108	68	49476	52508	0	103728	6708	0	87	0	374149	912	563194	850	0	0	1	1
1773494110	70	49476	52508	0	103728	6708	0	87	0	374149	912	563194	850	0	0	1	1
1773494112	72	49472	52508	0	103728	6708	0	87	0	416031	1012	624959	944	0	0	1	1
1773494114	74	49473	52508	0	103728	6708	0	87	0	434270	1065	657650	992	0	0	1	1
1773494116	76	49474	52508	0	103728	6708	0	87	0	434336	1066	657812	993	0	0	1	1
1773494118	78	49474	52508	0	103728	6708	0	87	0	440429	1082	665536	1008	0	0	1	1
1773494120	80	49476	52508	0	103728	6708	0	87	0	440429	1082	665536	1008	0	0	1	1
1773494122	82	49471	52508	0	103728	6708	0	87	0	469229	1147	708305	1071	0	0	1	1
1773494124	84	49470	52508	0	103728	6708	0	87	0	497735	1210	751446	1128	0	0	1	1
1773494126	86	49474	52508	0	103728	6708	0	87	0	497735	1210	751446	1128	0	0	1	1
1773494128	88	49476	52508	0	103728	6708	0	87	0	497867	1212	751578	1130	0	0	1	1
1773494130	90	49475	52508	0	103728	6708	0	87	0	497867	1212	751578	1130	0	0	1	1
1773494132	92	49474	52508	0	103728	6708	0	87	0	517129	1263	778350	1177	0	0	1	1
1773494134	94	49474	52508	0	103728	6708	0	87	0	555382	1344	837697	1254	0	0	1	1
1773494136	96	49475	52508	0	103728	6708	0	87	0	555382	1344	837697	1254	0	0	1	1
1773494138	98	49474	52508	0	103728	6708	0	87	0	555382	1344	837697	1254	0	0	1	1
1773494140	100	49471	52508	0	103728	6708	0	87	0	555382	1344	837697	1254	0	0	1	1
1773494142	103	49472	52508	0	103728	6708	0	87	0	570798	1383	860022	1291	0	0	1	1
1773494144	105	49473	52508	0	103728	6708	0	87	0	615708	1496	932929	1399	0	0	1	1
1773494146	107	49476	52508	0	103728	6708	0	87	0	615774	1497	932995	1400	0	0	1	1
1773494148	109	49475	52508	0	103728	6708	0	87	0	615944	1500	933165	1403	0	0	1	1
1773494150	111	49473	52508	0	103728	6708	0	87	0	615944	1500	933165	1403	0	0	1	1
1773494152	113	49474	52508	0	103728	6708	0	87	0	620564	1519	937425	1420	0	0	1	1
1773494154	115	49473	52508	0	103728	6708	0	87	0	673257	1628	1019079	1523	0	0	1	1
1773494156	117	49474	52508	0	103728	6708	0	87	0	673257	1628	1019079	1523	0	0	1	1
1773494158	119	49474	52508	0	103728	6708	0	87	0	673493	1632	1019315	1527	0	0	1	1
1773494160	121	49471	52508	0	103728	6708	0	87	0	673493	1632	1019315	1527	0	0	1	1
1773494162	123	49469	52508	0	103728	6708	0	87	0	678110	1651	1023639	1545	0	0	1	1
1773494164	125	49472	52508	0	103728	6708	0	87	0	722599	1747	1092128	1635	0	0	1	1
1773494166	127	49469	52508	0	103728	6708	0	87	0	730971	1763	1105330	1649	0	0	1	1
1773494168	129	49476	52508	0	103728	6708	0	87	0	735241	1782	1109075	1666	0	0	1	1
1773494170	131	49469	52508	0	103728	6708	0	87	0	735241	1782	1109075	1666	0	0	1	1
1773494172	133	49473	52508	0	103728	6708	0	87	0	739956	1803	1113563	1687	0	0	1	1
1773494174	135	49469	52508	0	103728	6708	0	87	0	779700	1903	1179437	1782	0	0	1	1
1773494176	137	49476	52508	0	103728	6708	0	87	0	795353	1935	1203908	1812	0	0	1	1
1773494178	138	49474	52508	0	103728	6708	0	87	0	801446	1951	1211632	1827	0	0	1	1
1773494180	140	49473	52508	0	103728	6708	0	87	0	801446	1951	1211632	1827	0	0	1	1
1773494182	142	49473	52508	0	103728	6708	0	87	0	801446	1951	1211632	1827	0	0	1	1
1773494184	144	49474	52508	0	103728	6708	0	87	0	830317	2017	1254338	1889	0	0	1	1
1773494186	146	49471	52508	0	103728	6708	0	87	0	858619	2077	1297674	1949	0	0	1	1
1773494188	148	49475	52508	0	103728	6708	0	87	0	858619	2077	1297674	1949	0	0	1	1
1773494190	150	49474	52508	0	103728	6708	0	87	0	858751	2079	1297806	1951	0	0	1	1
1773494192	152	49469	52508	0	103728	6708	0	87	0	858751	2079	1297806	1951	0	0	1	1
1773494194	154	49474	52508	0	103728	6708	0	87	0	878218	2134	1324784	2002	0	0	1	1
1773494196	156	49474	52508	0	103728	6708	0	87	0	916327	2212	1383856	2074	0	0	1	1
1773494198	158	49475	52508	0	103728	6708	0	87	0	916327	2212	1383856	2074	0	0	1	1
1773494200	160	49471	52508	0	103728	6708	0	87	0	916327	2212	1383856	2074	0	0	1	1
1773494202	162	49471	52508	0	103728	6708	0	87	0	916543	2216	1384072	2078	0	0	1	1
1773494204	164	49476	52508	0	103728	6708	0	87	0	934677	2273	1415153	2130	0	0	1	1
1773494206	166	49471	52508	0	103728	6708	0	87	0	976782	2366	1479086	2219	0	0	1	1
1773494208	168	49474	52508	0	103728	6708	0	87	0	976952	2369	1479256	2222	0	0	1	1
1773494210	170	49476	52508	0	103728	6708	0	87	0	976952	2369	1479256	2222	0	0	1	1
1773494212	172	49474	52508	0	103728	6708	0	87	0	976952	2369	1479256	2222	0	0	1	1
1773494214	174	49473	52508	0	103728	6708	0	87	0	981572	2388	1483516	2239	0	0	1	1
1773494216	176	49476	52508	0	103728	6708	0	87	0	1034389	2499	1565034	2340	0	0	1	1
1773494218	178	49474	52508	0	103728	6708	0	87	0	1034493	2501	1565138	2342	0	0	1	1
1773494220	180	49474	52508	0	103728	6708	0	87	0	1034625	2503	1565270	2344	0	0	1	1
1773494222	182	49474	52508	0	103728	6708	0	87	0	1034625	2503	1565270	2344	0	0	1	1
1773494224	184	49473	52508	0	103728	6708	0	87	0	1039283	2523	1569700	2364	0	0	1	1
1773494226	186	49471	52508	0	103728	6708	0	87	0	1083662	2617	1638148	2453	0	0	1	1
1773494228	188	49475	52508	0	103728	6708	0	87	0	1096299	2652	1655092	2484	0	0	1	1
1773494230	190	49476	52508	0	103728	6708	0	87	0	1096299	2652	1655092	2484	0	0	1	1
1773494232	192	49475	52508	0	103728	6708	0	87	0	1096463	2655	1655256	2487	0	0	1	1
1773494234	195	49470	52508	0	103728	6708	0	87	0	1099115	2677	1663660	2506	0	0	1	1
1773494236	197	49473	52508	0	103728	6708	0	87	0	1140902	2775	1725424	2598	0	0	1	1
1773494238	199	49474	52508	0	103728	6708	0	87	0	1162644	2823	1757389	2641	0	0	1	1
1773494240	201	49475	52508	0	103728	6708	0	87	0	1162644	2823	1757389	2641	0	0	1	1
1773494242	203	49475	52508	0	103728	6708	0	87	0	1162644	2823	1757389	2641	0	0	1	1
1773494244	205	49469	52508	0	103728	6708	0	87	0	1162644	2823	1757389	2641	0	0	1	1
1773494246	207	49471	52508	0	103728	6708	0	87	0	1191515	2889	1800095	2703	0	0	1	1
1773494248	209	49472	52508	0	103728	6708	0	87	0	1220083	2953	1843168	2759	0	0	1	1
1773494250	211	49474	52508	0	103728	6708	0	87	0	1220215	2955	1843300	2761	0	0	1	1
1773494252	213	49476	52508	0	103728	6708	0	87	0	1220423	2959	1843508	2765	0	0	1	1
1773494254	215	49474	52508	0	103728	6708	0	87	0	1220423	2959	1843508	2765	0	0	1	1
1773494256	217	49472	52508	0	103728	6708	0	87	0	1239681	3010	1870278	2812	0	0	1	1
1773494258	219	49476	52508	0	103728	6708	0	87	0	1277792	3088	1929351	2884	0	0	1	1
1773494260	221	49476	52508	0	103728	6708	0	87	0	1277792	3088	1929351	2884	0	0	1	1
1773494262	223	49473	52508	0	103728	6708	0	87	0	1278008	3092	1929567	2888	0	0	1	1
1773494264	225	49469	52508	0	103728	6708	0	87	0	1280945	3114	1938566	2907	0	0	1	1
1773494266	227	49472	52508	0	103728	6708	0	87	0	1296277	3151	1960675	2940	0	0	1	1
1773494268	228	49475	52508	0	103728	6708	0	87	0	1338550	3247	2024645	3030	0	0	1	1
1773494270	230	49470	52508	0	103728	6708	0	87	0	1338550	3247	2024645	3030	0	0	1	1
1773494272	232	49469	52508	0	103728	6708	0	87	0	1338550	3247	2024645	3030	0	0	1	1
1773494274	234	49469	52508	0	103728	6708	0	87	0	1338550	3247	2024645	3030	0	0	1	1
1773494276	236	49470	52508	0	103728	6708	0	87	0	1343170	3266	2028905	3047	0	0	1	1
1773494278	238	49475	52508	0	103728	6708	0	87	0	1396029	3378	2110595	3151	0	0	1	1
1773494280	240	49474	52508	0	103728	6708	0	87	0	1396161	3380	2110727	3153	0	0	1	1
1773494282	242	49474	52508	0	103728	6708	0	87	0	1396161	3380	2110727	3153	0	0	1	1
1773494284	244	49470	52508	0	103728	6708	0	87	0	1396265	3382	2110831	3155	0	0	1	1
1773494286	246	49469	52508	0	103728	6708	0	87	0	1400882	3401	2115089	3172	0	0	1	1
1773494288	248	49471	52508	0	103728	6708	0	87	0	1445195	3494	2183537	3261	0	0	1	1
1773494290	250	49476	52508	0	103728	6708	0	87	0	1457766	3528	2200547	3293	0	0	1	1
1773494292	252	49473	52508	0	103728	6708	0	87	0	1457930	3531	2200711	3296	0	0	1	1
1773494294	254	49471	52508	0	103728	6708	0	87	0	1460582	3553	2209140	3315	0	0	1	1
1773494296	256	49474	52508	0	103728	6708	0	87	0	1460648	3554	2209302	3316	0	0	1	1
1773494298	258	49473	52508	0	103728	6708	0	87	0	1508523	3668	2278692	3423	0	0	1	1
1773494300	260	49474	52508	0	103728	6708	0	87	0	1524107	3699	2303001	3452	0	0	1	1
1773494302	262	49473	52508	0	103728	6708	0	87	0	1524107	3699	2303001	3452	0	0	1	1
1773494304	264	49470	52508	0	103728	6708	0	87	0	1524107	3699	2303001	3452	0	0	1	1
1773494306	266	49474	52508	0	103728	6708	0	87	0	1524107	3699	2303001	3452	0	0	1	1
1773494308	268	49470	52508	0	103728	6708	0	87	0	1552845	3763	2345838	3516	0	0	1	1
1773494310	270	49472	52508	0	103728	6708	0	87	0	1581412	3827	2389176	3576	0	0	1	1
1773494312	272	49469	52508	0	103728	6708	0	87	0	1581620	3831	2389384	3580	0	0	1	1
1773494314	274	49474	52508	0	103728	6708	0	87	0	1581620	3831	2389384	3580	0	0	1	1
1773494316	276	49474	52508	0	103728	6708	0	87	0	1581620	3831	2389384	3580	0	0	1	1
1773494318	278	49474	52508	0	103728	6708	0	87	0	1600882	3882	2416156	3627	0	0	1	1
1773494320	280	49474	52508	0	103728	6708	0	87	0	1639062	3961	2475166	3698	0	0	1	1
1773494322	282	49473	52508	0	103728	6708	0	87	0	1639278	3965	2475382	3702	0	0	1	1
1773494324	285	49470	52508	0	103728	6708	0	87	0	1642149	3986	2484447	3722	0	0	1	1
1773494326	287	49473	52508	0	103728	6708	0	87	0	1642215	3987	2484513	3723	0	0	1	1
1773494328	289	49475	52508	0	103728	6708	0	87	0	1657583	4025	2506791	3759	0	0	1	1
1773494330	291	49474	52508	0	103728	6708	0	87	0	1699631	4117	2570664	3847	0	0	1	1
1773494332	293	49469	52508	0	103728	6708	0	87	0	1699631	4117	2570664	3847	0	0	1	1
1773494334	295	49473	52508	0	103728	6708	0	87	0	1699631	4117	2570664	3847	0	0	1	1
1773494336	297	49474	52508	0	103728	6708	0	87	0	1699631	4117	2570664	3847	0	0	1	1
1773494338	299	49469	52508	0	103728	6708	0	87	0	1704355	4138	2575028	3866	0	0	1	1
1773494340	301	49475	52508	0	103728	6708	0	87	0	1757047	4247	2656947	3973	0	0	1	1
1773494342	303	49474	52508	0	103728	6708	0	87	0	1757047	4247	2656947	3973	0	0	1	1
1773494344	305	49471	52508	0	103728	6708	0	87	0	1757151	4249	2657051	3975	0	0	1	1
1773494346	307	49476	52508	0	103728	6708	0	87	0	1757151	4249	2657051	3975	0	0	1	1
1773494348	309	49469	52508	0	103728	6708	0	87	0	1761705	4267	2661377	3993	0	0	1	1
